310,Pringsewu,Pringsewu
310,Sukoharjo,Sukoharjo
714,Adian Koting,Adian Koting
714,Garoga,Garoga
714,Muara,Muara
714,Pagaran,Pagaran
714,Pahae Jae,Pahae Jae
714,Pahae Julu,Pahae Julu
714,Pangaribuan,Pangaribuan
714,Parmonangan,Parmonangan
714,Purbatua,Purbatua
714,Siatas Barita,Siatas Barita
714,Siborong-Borong,Siborong-Borong
714,Simangumban,Simangumban
714,Sipahutar,Sipahutar
714,Sipoholon,Sipoholon
714,Tarutung,Tarutung
129,Adimulyo,Adimulyo
129,Alian/Aliyan,Alian/Aliyan
129,Ambal,Ambal
129,Ayah,Ayah
129,Bonorowo,Bonorowo
129,Buayan,Buayan
129,Buluspesantren,Buluspesantren
129,Gombong,Gombong
129,Karanganyar,Karanganyar
129,Karanggayam,Karanggayam
129,Karangsambung,Karangsambung
129,Kebumen,Kebumen
129,Klirong,Klirong
129,Kutowinangun,Kutowinangun
129,Kuwarasan,Kuwarasan
129,Mirit,Mirit
129,Padureso,Padureso
129,Pejagoan,Pejagoan
129,Petanahan,Petanahan
129,Poncowarno,Poncowarno
129,Prembun,Prembun
129,Puring,Puring
129,Rowokele,Rowokele
129,Sadang,Sadang
129,Sempor,Sempor
129,Sruweng,Sruweng
124,Adipala,Adipala
124,Bantarsari,Bantarsari
124,Binangun,Binangun
124,Cilacap,Cilacap
124,Cilacap Selatan,Cilacap Selatan
124,Cilacap Tengah,Cilacap Tengah
124,Cilacap Utara,Cilacap Utara
124,Cimanggu,Cimanggu
124,Cipari,Cipari
124,Dayeuhluhur,Dayeuhluhur
124,Gandrungmangu,Gandrungmangu
124,Jeruklegi,Jeruklegi
124,Kampung Laut,Kampung Laut
124,Karangpucung,Karangpucung
124,Kawunganten,Kawunganten
124,Kedungreja,Kedungreja
124,Kesugihan,Kesugihan
124,Kroya,Kroya
124,Majenang,Majenang
124,Maos,Maos
124,Nusawungu,Nusawungu
124,Patimuan,Patimuan
124,Sampang,Sampang
124,Sidareja,Sidareja
124,Wanareja,Wanareja
143,Adiwerna,Adiwerna
143,Balapulang,Balapulang
143,Bojong,Bojong
143,Bumijawa,Bumijawa
143,Dukuhturi,Dukuhturi
143,Dukuhwaru,Dukuhwaru
143,Jatinegara,Jatinegara
143,Kedung Banteng,Kedung Banteng
143,Kramat,Kramat
143,Lebaksiu,Lebaksiu
143,Margasari,Margasari
143,Pagerbarang,Pagerbarang
143,Pangkah,Pangkah
143,Slawi,Slawi
143,Surodadi,Surodadi
143,Talang,Talang
143,Tarub,Tarub
143,Warurejo,Warurejo
402,Adonara,Adonara
402,Adonara Barat,Adonara Barat
402,Adonara Tengah,Adonara Tengah
402,Adonara Timur,Adonara Timur
402,Demon Pagong,Demon Pagong
402,Ile Boleng,Ile Boleng
402,Ile Bura,Ile Bura
402,Ile Mandiri,Ile Mandiri
402,Kelubagolit,Kelubagolit
402,Larantuka,Larantuka
402,Lewolema,Lewolema
402,Solor Barat,Solor Barat
402,Solor Selatan,Solor Selatan
402,Solor Timur,Solor Timur
402,Tanjung Bunga,Tanjung Bunga
402,Titehena,Titehena
402,Witihama,Witihama
402,Wotan Ulumando,Wotan Ulumando
402,Wulanggitang,Wulanggitang
712,Aek Bilah,Aek Bilah
712,Angkola Sangkunur,Angkola Sangkunur
712,Angkola Timur,Angkola Timur
712,Arse,Arse
712,Batang Angkola,Batang Angkola
712,Batang Toru,Batang Toru
712,Marancar,Marancar
712,Muara Batang Toru,Muara Batang Toru
712,Saipar Dolok Hole,Saipar Dolok Hole
712,Sayur Matinggi,Sayur Matinggi
712,Sipirok,Sipirok
712,Tano Tombangan Angkola,Tano Tombangan Angkola
691,Aek Kuasan,Aek Kuasan
691,Aek Ledong,Aek Ledong
691,Aek Songsongan,Aek Songsongan
691,Air Batu,Air Batu
691,Air Joman,Air Joman
691,Bandar Pasir Mandoge,Bandar Pasir Mandoge
691,Bandar Pulau,Bandar Pulau
691,Buntu Pane,Buntu Pane
691,Kota Kisaran Barat,Kota Kisaran Barat
691,Kota Kisaran Timur,Kota Kisaran Timur
691,Meranti,Meranti
691,Pulau Rakyat,Pulau Rakyat
691,Pulo Bandring,Pulo Bandring
691,Rahuning,Rahuning
691,Rawang Panca Arga,Rawang Panca Arga
691,Sei Dadap,Sei Dadap
