"Set custom title text for the slider.","Set custom title text for the slider."
"Advanced Settings","Advanced Settings"
"Title Text Color","Title Text Color"
"Set the title text color (optional).","Set the title text color (optional)."
"Title Background Color","Title Background Color"
"Set the background color for the title (optional).","Set the background color for the title (optional)."
"Show Brand Label","Show Brand Label"
"Display brand labels in the slider.","Display brand labels in the slider."
"Brand Label Color","Brand Label Color"
"Set the brand label text color (optional).","Set the brand label text color (optional)."
"Show Navigation Buttons","Show Navigation Buttons"
"Display navigation buttons on the slider.","Display navigation buttons on the slider."
"Show Pagination","Show Pagination"
"Show pagination controls below the slider.","Show pagination controls below the slider."
"Auto Play","Auto Play"
"Enable automatic sliding between brands.","Enable automatic sliding between brands."
"Auto Play Loop","Auto Play Loop"
"Allow the slider to loop continuously.","Allow the slider to loop continuously."
"Auto Play Interval (ms)","Auto Play Interval (ms)"
"Set the interval for auto-play in milliseconds (default: 4000).","Set the interval for auto-play in milliseconds (default: 4000)."
"Pause on Hover","Pause on Hover"
"Pause the slider when the user hovers over it.","Pause the slider when the user hovers over it."
"Slider Width (px)","Slider Width (px)"
"Set the slider width (optional).","Set the slider width (optional)."
"Slider Width","Slider Width"
"Slider Image Width (px)","Slider Image Width (px)"
"Set the width of the images inside the slider (optional).","Set the width of the images inside the slider (optional)."
"Spacing Between Images (px)","Spacing Between Images (px)"
"Set the spacing between slider images (default: 10px).","Set the spacing between slider images (default: 10px)."
"Inactive Paging Color","Inactive Paging Color"
"If the field is empty, will be applied default value.","If the field is empty, will be applied default value."
"Active Paging Color","Active Paging Color"
"Hover Paging Color","Hover Paging Color"
"Navigation Buttons Color","Navigation Buttons Color"
"Product Display Settings","Product Display Settings"
"Manage how brand information appears in product listings and individual product pages.","Manage how brand information appears in product listings and individual product pages."
"Product List","Product List"
"Display Brand Logo on Product List","Display Brand Logo on Product List"
"Show the brand logo in the product listing page.","Show the brand logo in the product listing page."
"Product List Brand Logo Width (px)","Product List Brand Logo Width (px)"
"Set the width of the brand logo in the product list (default: 30px).","Set the width of the brand logo in the product list (default: 30px)."
"Product List Brand Tooltip","Product List Brand Tooltip"
"Show brand tooltip in product list.","Show brand tooltip in product list."
"Product Page","Product Page"
"Display Brand Logo on Product Page","Display Brand Logo on Product Page"
"Show the brand logo on individual product pages.","Show the brand logo on individual product pages."
"Display Description on Product Page","Display Description on Product Page"
"Display the brand description on product pages.","Display the brand description on product pages."
"Product Page Brand Logo Width (px)","Product Page Brand Logo Width (px)"
"If the field is empty, will be applied default value 30px.","If the field is empty, will be applied default value 30px."
"Product Page Brand Tooltip","Product Page Brand Tooltip"
"Show brand tooltip in product page.","Show brand tooltip in product page."
"Product List And Product Page","Product List And Product Page"
"Tooltip Max Image Width","Tooltip Max Image Width"
"Set the maximum width for the tooltip images.","Set the maximum width for the tooltip images."
"Related Products Section On Product Page","Related Products Section On Product Page"
"More Products from Brand Enabled","More Products from Brand Enabled"
"Enable or disable related products from the brand.","Enable or disable related products from the brand."
"Set a custom title for the related products section.","Set a custom title for the related products section."
"Products Limit","Products Limit"
"Limit the number of related products shown (default: 6).","Limit the number of related products shown (default: 6)."
"General Information","General Information"
Brand,Brand
"Is Active","Is Active"
"URL key","URL key"
"If the field is empty, URL Key will be created automatically","If the field is empty, URL Key will be created automatically"
Logo,Logo
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Visible in Store View","Visible in Store View"
"All Store Views","All Store Views"
"Banner Alt","Banner Alt"
"If the field is empty, alt will be created automatically from Brand field","If the field is empty, alt will be created automatically from Brand field"
"Banner Title","Banner Title"
"If the field is empty, title will be created automatically from Brand field","If the field is empty, title will be created automatically from Brand field"
"Banner Image","Banner Image"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Banner position","Banner position"
"Show in Brand Slider","Show in Brand Slider"
"Slider Position","Slider Position"
"Products of this brand","Products of this brand"
"Add Products","Add Products"
"Add Products to this Brand","Add Products to this Brand"
Cancel,Cancel
"Add Selected Products","Add Selected Products"
Remove,Remove
ID,ID
Thumbnail,Thumbnail
Name,Name
Status,Status
Actions,Actions
"Attribute Set","Attribute Set"
StatusText,StatusText
Type,Type
SKU,SKU
Price,Price
"Add Brand Page","Add Brand Page"
"Url key","Url key"
Description,Description
"Store View","Store View"
"View all %1 products","View all %1 products"
