"Option ""%1""","Option ""%1"""
"Product Customizable Option","Product Customizable Option"
"Value ""%1"" of Option ""%2""","Value ""%1"" of Option ""%2"""
"Terms and Conditions","Terms and Conditions"
"CMS Block","CMS Block"
"CMS Page","CMS Page"
"CMS Widget","CMS Widget"
"System Config","System Config"
Customer,Customer
"Customer Address","Customer Address"
"Customer Group","Customer Group"
"Customer Segment","Customer Segment"
"Product Attribute","Product Attribute"
"Product Attribute Set","Product Attribute Set"
Flag,Flag
"Source Item (%1)","Source Item (%1)"
"Email Template","Email Template"
"Newsletter Template","Newsletter Template"
"Cart Price Rule","Cart Price Rule"
"Catalog Price Rule","Catalog Price Rule"
"Gift Card Account #%1","Gift Card Account #%1"
"Gift Card Account","Gift Card Account"
"Related Products Rule","Related Products Rule"
"URL Rewrite","URL Rewrite"
"Credit Memo for Order #%1","Credit Memo for Order #%1"
"Credit Memo","Credit Memo"
"Invoice for Order #%1","Invoice for Order #%1"
Invoice,Invoice
"Order #%1","Order #%1"
Order,Order
"%1 Address for Order #%2","%1 Address for Order #%2"
"Order Address","Order Address"
"Return Request #%1","Return Request #%1"
RMA,RMA
"Shipment for Order #%1","Shipment for Order #%1"
Shipment,Shipment
"Tax Rate #%1","Tax Rate #%1"
"Tax Rate","Tax Rate"
"Tax Rule #%1","Tax Rule #%1"
"Tax Rule","Tax Rule"
"Active Session with specified ID ""%1"" not found.","Active Session with specified ID ""%1"" not found."
"Unable to save the Active Session. Error: %1","Unable to save the Active Session. Error: %1"
"Unable to delete the Active Session. Error: %1","Unable to delete the Active Session. Error: %1"
"Provided argument is not in PSR-0 or underscore notation.","Provided argument is not in PSR-0 or underscore notation."
"Log Entry with specified ID ""%1"" not found.","Log Entry with specified ID ""%1"" not found."
"Unable to save the Log Entry. Error: %1","Unable to save the Log Entry. Error: %1"
"Unable to delete the Log Entry. Error: %1","Unable to delete the Log Entry. Error: %1"
"Login Attempt with specified ID ""%1"" not found.","Login Attempt with specified ID ""%1"" not found."
"Unable to save the Login Attempt. Error: %1","Unable to save the Login Attempt. Error: %1"
"Unable to delete the Login Attempt. Error: %1","Unable to delete the Login Attempt. Error: %1"
New,New
Edit,Edit
Delete,Delete
Export,Export
Restore,Restore
"From New Device","From New Device"
"With New IP Address","With New IP Address"
"From New Location","From New Location"
Failed,Failed
Success,Success
Logout,Logout
"Visit History Entry with specified ID ""%1"" not found.","Visit History Entry with specified ID ""%1"" not found."
"Unable to save the Visit History. Error: %1","Unable to save the Visit History. Error: %1"
"Unable to delete the Visit History. Error: %1","Unable to delete the Visit History. Error: %1"
"Unable to restore changes. Error: %1","Unable to restore changes. Error: %1"
"Product Option with specified ID ""%1"" not found.","Product Option with specified ID ""%1"" not found."
"Product Option Value with specified ID ""%1"" not found.","Product Option Value with specified ID ""%1"" not found."
"View Details","View Details"
"Preview Details","Preview Details"
"Just Now","Just Now"
". "" minute(s) ago""",". "" minute(s) ago"""
