"Apply Filters by Button Click on Mobile","Apply Filters by Button Click on Mobile"
"Overrides instant filtering for mobile devices, requiring users to tap a button to apply filters.","Overrides instant filtering for mobile devices, requiring users to tap a button to apply filters."
"Screen width breakpoint (px)","Screen width breakpoint (px)"
"If empty the extension will use 768px as a breakpoint","If empty the extension will use 768px as a breakpoint"
"Allows users to select multiple options in each filter category.","Allows users to select multiple options in each filter category."
"Enable Sticky Sidebar","Enable Sticky Sidebar"
"Keeps the sidebar in a fixed position while scrolling.","Keeps the sidebar in a fixed position while scrolling."
"Appearance Settings","Appearance Settings"
"Customize the appearance and functionality of filter options.","Customize the appearance and functionality of filter options."
"Filter Appearance","Filter Appearance"
"Show Expanded Filters by Default","Show Expanded Filters by Default"
"Limit for Default Expanded Filters","Limit for Default Expanded Filters"
"Set the number of filters expanded by default; leave empty for all to be open.","Set the number of filters expanded by default; leave empty for all to be open."
"Hide Inactive Filter Options","Hide Inactive Filter Options"
"Hide filter options with no available products.","Hide filter options with no available products."
"Show Clear Options Button","Show Clear Options Button"
"Display clear button with selected options count for applied filters.","Display clear button with selected options count for applied filters."
"Filter Selection Display Style","Filter Selection Display Style"
"Choose how filter options appear: as checkboxes, circles, etc.","Choose how filter options appear: as checkboxes, circles, etc."
"Option will not be applied if images added for multiselect attributes","Option will not be applied if images added for multiselect attributes"
"Selection Background Color","Selection Background Color"
"Set the background color for selected checkboxes or circles. Defaults to white if left empty.","Set the background color for selected checkboxes or circles. Defaults to white if left empty."
"For example: #337ab7, #5cb85c, #5bc0de, #f0ad4e, #d9534f etc.","For example: #337ab7, #5cb85c, #5bc0de, #f0ad4e, #d9534f etc."
"Selection Border Color","Selection Border Color"
"Specify the border color for checkboxes or circles. Defaults to #ccc if left empty.","Specify the border color for checkboxes or circles. Defaults to #ccc if left empty."
"Selection Mark Color","Selection Mark Color"
"Set the color of the checkmark or selection mark. Defaults to #555555 if left empty.","Set the color of the checkmark or selection mark. Defaults to #555555 if left empty."
"Filter Options Appearance","Filter Options Appearance"
"Limit the number of displayed filter options","Limit the number of displayed filter options"
"Allows users to limit the number of shown filter options.","Allows users to limit the number of shown filter options."
"Height of scroll box (px)","Height of scroll box (px)"
"Set the height of the scrolled box.","Set the height of the scrolled box."
"Filter Option Count Threshold","Filter Option Count Threshold"
"If enabled, features such as ""Show Search Box"" or ""Show More / Show Less"" toggle will use this value to determine when to activate.","If enabled, features such as ""Show Search Box"" or ""Show More / Show Less"" toggle will use this value to determine when to activate."
"Show Alphabetical Index if Filter Options Exceed","Show Alphabetical Index if Filter Options Exceed"
"Display an alphabetical index if the number of filter options is higher than this limit. Leave empty to always show the index.","Display an alphabetical index if the number of filter options is higher than this limit. Leave empty to always show the index."
"Label for ""Show Less""","Label for ""Show Less"""
"Custom text for the ""show less"" option when hiding excess filter options.","Custom text for the ""show less"" option when hiding excess filter options."
"Label for ""Show More""","Label for ""Show More"""
"Custom text for the ""show more"" option when displaying additional filter options.","Custom text for the ""show more"" option when displaying additional filter options."
"Link Highlighting","Link Highlighting"
"Enable Link Highlighting","Enable Link Highlighting"
"Highlights active links in filters.","Highlights active links in filters."
"Highlight Color","Highlight Color"
"Color for highlighting active links. Defaults to #ff5501 if left empty.","Color for highlighting active links. Defaults to #ff5501 if left empty."
"Custom CSS","Custom CSS"
"Add additional CSS for custom styling.","Add additional CSS for custom styling."
"Price Slider Styling","Price Slider Styling"
"Primary Slider Color","Primary Slider Color"
"Main color for range sliders, such as price filters.","Main color for range sliders, such as price filters."
"Secondary Slider Color","Secondary Slider Color"
"Color for the slider track.","Color for the slider track."
"Product Price Settings","Product Price Settings"
"Customize product price filering","Customize product price filering"
"Use price including tax","Use price including tax"
"Enabling this option may reduce filtering speed.","Enabling this option may reduce filtering speed."
"Additional filters","Additional filters"
"Enabling and customization of additional filters.","Enabling and customization of additional filters."
"Category filter","Category filter"
"Enable Category Filtering","Enable Category Filtering"
"Enables category-based filtering for easier navigation.","Enables category-based filtering for easier navigation."
"Show Nested Categories","Show Nested Categories"
"Display subcategories within the main categories.","Display subcategories within the main categories."
"Collapsible Subcategories","Collapsible Subcategories"
"Allows subcategories to be collapsible for a cleaner layout.","Allows subcategories to be collapsible for a cleaner layout."
"Category Filter Mode","Category Filter Mode"
"Toggle between filtered URLs and category-based links in the category filter.","Toggle between filtered URLs and category-based links in the category filter."
"Define sort order for categories in category filter.","Define sort order for categories in category filter."
"Use Alphabetical Index.","Use Alphabetical Index."
"New Products","New Products"
Enabled,Enabled
"To show new products filter date should be set in ""CATALOG > Products > {Edit Product} > Autosettings > Set Product as New From""","To show new products filter date should be set in ""CATALOG > Products > {Edit Product} > Autosettings > Set Product as New From"""
"On Sale","On Sale"
"It shows products with discount configured in ""MARKETING > Catalog Price Rule"" and products with configured ""Special Price"" in ""CATALOG > Products > {Edit Product} > Advanced Pricing""","It shows products with discount configured in ""MARKETING > Catalog Price Rule"" and products with configured ""Special Price"" in ""CATALOG > Products > {Edit Product} > Advanced Pricing"""
Stock,Stock
"To show out of stock products should be set to ""Yes"" following configuration ""STORES > Configuration > Catalog > Inventory > Stock Options > Display Out of Stock Products""","To show out of stock products should be set to ""Yes"" following configuration ""STORES > Configuration > Catalog > Inventory > Stock Options > Display Out of Stock Products"""
"In Stock Filter Label","In Stock Filter Label"
"Out of Stock Filter Label","Out of Stock Filter Label"
Rating,Rating
"Rating filter","Rating filter"
"Search Filter","Search Filter"
"Search filter","Search filter"
"Fulltext Search","Fulltext Search"
