"Visible In","Visible In"
"Customer Groups","Customer Groups"
"Sort Order","Sort Order"
"Reset Label","Reset Label"
"If selected, all label view data for this view type will be deleted","If selected, all label view data for this view type will be deleted"
Image,Image
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
Title,Title
"Variables can be used in this field","Variables can be used in this field"
Description,Description
URL,URL
Placeholder,Placeholder
Template,Template
Styles,Styles
Rule,Rule
"Add Label","Add Label"
"Change status","Change status"
"Delete items","Delete items"
"Are you sure you want to delete the selected items?","Are you sure you want to delete the selected items?"
ID,ID
"Product List Labels","Product List Labels"
"Product View Labels","Product View Labels"
Status,Status
Identifier,Identifier
"Limit of Labels","Limit of Labels"
"Leave empty or set 0 to disable limitation","Leave empty or set 0 to disable limitation"
"Labels Direction","Labels Direction"
"For multiple labels in one placeholder","For multiple labels in one placeholder"
Position,Position
"Add Placeholder","Add Placeholder"
"HTML Template","HTML Template"
"Data for testing (will not be saved)","Data for testing (will not be saved)"
"Label Title","Label Title"
"Label Description","Label Description"
"Label image URL","Label image URL"
"Add Template","Add Template"
Preview,Preview
